Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,X
0,10,22,,728,730,852,0,PS,1451,NA, ,79,NA,-99999,-2,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,6
1987,10,23,5,731,730,-99999,849,PS,1451, ,91,79,NA,13,1,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,7
1987,10,23,5,731,730,902,849,PS,1451,NA,NA,0,NA,13,,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,7
1987, ,23,5,731,730,902, ,-1,1451,NA,91,79,NA,13,1,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,7
1987,10,23,5,-1,730,902,849,PS,1451,-1,91,0,NA,-99999,1,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,7
1987,10,24,6,744,730,908,849,PS,1451,NA,84,79,NA,19,14,SAN,-99999,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,8
1987,10,24, ,744,730,908,849,PS,1451,NA,84,79,NA,,14,-99999,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,8
1987,10,25,7,729,NA,851,849,0,1451,NA,82,79,NA,2,-1,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,9
1987,10,25,7,729,730,851,849,0,1451,NA,82,79,NA,2,-1,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,9
1987, ,25,7,729,730,851,849,PS,1451,-1,-99999,79,NA,-1,-1,SAN,SFO,447,NA,-1,0,NA,0,NA,NA,NA,NA,NA,9
1987,10,26,1,735,730,904,849,PS,1451,NA,89,79,NA,15,5,-1,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,10
1987,10,28,3,741,725,919,855,PS,1451,NA, ,90,NA,-99999,16,SAN,SFO, ,NA,NA,0,NA,0,NA,NA,NA,NA,NA,11
1987,10,29,4,742,725,906,0,,1451,NA,84,90,NA,11,17,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,12
1987,10,29,4,742,-99999,906,855,PS,1451,NA,84,90,NA,11,17,SAN,-99999,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,12
-1,10,29,NA,742,-1,906,855,,1451,NA,84,NA,NA,11,17,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,12
1987,10,29,4,742,725,906,855,PS,1451,NA,-1,90,-99999,11,17,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,12
 ,-1,31,6,726,NA,848,-1,PS,1451,-1,82,90,NA,-7,1,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,13
1987,,1,4,936,915,1035,1001, ,1451,NA,59,46,NA,34,21,SFO,-1,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,14
1987,-99999,-1,4,936,,,1001,PS,1451,NA,59,46,NA,34,21,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,14
1987,10,1,-1,936,915,1035,1001,PS,1451,NA,59,46,NA,34,21,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,14
1987,10,1,-1,936, ,1035,-99999,PS,1451,NA,NA,46,NA,34,21,SFO,RNO, ,NA,NA,0,NA,0,NA,NA,NA,NA,NA,14
1987,10,2,NA,918,915,1017,1001,-99999,1451,NA,59,46,NA,16,3,SFO,RNO,192,NA,-99999,0,NA,0,NA,NA,NA,NA,NA,15
1987,10,2,-1,NA, ,1017,1001,PS,1451,NA,59,46,NA,16,-1,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,15
1987,10,2,5,918,915,1017,-1,PS,1451,NA,59,0,,16,3,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,15
-1,10,2,5,918,915,,1001,PS,1451,NA,59,46,NA,16,3,SFO,RNO,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,15
1987,, ,,918,915,1017,1001,PS,1451,NA,59,46,NA,16,3,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,15
1987,10,,6,928,915,1037,1001,PS,1451,NA,69,46,NA,36,13,SFO,RNO,192,,NA,0,NA,0,NA,NA,NA,NA,NA,16
1987,10,3,6,928,915,1037,1001,PS, ,NA,69,46,NA,36,13,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,16
,10,3,6,928,915,1037,1001,PS,1451,NA,69,46,NA,,13,,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,16
1987,-1,3,6,928,915,1037,1001,-99999,1451,NA,69,46,NA,36,13,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,16
1987,10,-99999,6,928,915,1037,0,PS,0,NA,0,46,NA,36,13,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,16
1987,10,4,7,NA,915,NA,1001,PS, ,NA,49,46,NA,2,-1,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,17
1987,10,4,7,914,915,1003,1001,PS,0,NA,49,46,NA,2,0,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,17
1987,10,4,7,914,-99999,-1,1001,0,1451,NA,49,46,NA,2,-99999,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,17
1987,10,4,7,914,915,1003,NA,PS,1451,NA,-1,46,NA,2,-1,SFO,RNO,192,-1,NA,0,NA,0,NA,NA,NA,NA,NA,17
1987,10,5,1,1042,915,1129, ,PS,0,NA,,46,NA,88,87,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,18
1987,10,6,2,934,915,1024, ,PS,1451,,50,46,NA,23,19,SFO, ,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,19
1987,10,6,2,934,915,1024,1001,PS,1451,NA,,46,NA,23,19,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,19
-1,10,-99999,2,934,915,1024,1001,PS,1451,0,50,46,NA,23,,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,19
1987,,7,3,946,-99999,-1,NA,PS,1451,NA,51,NA,NA,36,31,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,20
1987,10,7,3,946,915,1037,1001,PS,1451,NA,51,46,NA,-1,31,SFO,-1,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,20
1987,10,8,4,932,915,1033,1001,PS,1451,,61,46,NA, ,17,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,21
1987,10,8,4,932, ,1033,1001,,1451,NA,61,46,NA,32,17,SFO,NA,192, ,NA,0,NA,0,NA,NA,NA,NA,NA,21
1987,10,-1,4,932,-1,1033,1001,PS,NA,NA,61,46,NA,32,17,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,21
1987,10,8,4,932,915,-99999,1001,PS,1451,,61,46,NA,NA,17,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,21
1987,10,8,4,932,915,1033,1001,PS,1451,NA,NA,46,NA,32,17,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,21
1987,-99999,9,5,947,915,1036,1001,PS,1451,NA,49,46,NA,35,32,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,22
1987,10,9,5,947,915,1036,1001,PS,1451,NA,49,,NA,35,32,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,22
1987,10,10,6,915,915,1022,1001,PS,1451,NA,67,46,NA,21,,SFO,RNO,-99999,0,NA,0,NA,0,NA,NA,NA,NA,NA,23
1987,10,10,6,915,915,1022,1001,PS,1451,NA,67,-1,-1,,0,SFO,RNO,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,23
1987,,10,6,915,915,1022,1001,PS,1451,NA,67,46,NA,21,0,,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,23
1987,10,10,6,915,915,1022,1001,PS,0,NA,,46,NA,21,0,SFO,RNO,192,0,NA,0,NA,0,NA,NA,NA,NA,NA,23
 ,10,11,7,916,915,NA,1001,PS,1451,NA,NA,46,NA,5,NA,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,24
1987,10,12,1,944,,1027,1001,PS,1451,0,43,46,NA,26,29,SFO,NA, ,NA,NA,0,NA,0,NA,NA,NA,NA,NA,25
1987,10,12,1,-1,915,1027,1001,PS,1451,NA,43,46,NA,-99999,29,SFO,NA,-1,NA,NA,0,NA,0,NA,NA,NA,NA,NA,25
1987,10,12,1, , ,1027,1001,PS,1451,NA,43,46,NA,26,29,SFO,-1,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,25
1987,10, ,1,944,915,1027,,PS,1451,-1,43,46,NA,26,29,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,25
1987,10,13,2,941,,-1,1001,PS,1451,NA,55,46,-1,35,-99999,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,26
1987,0,0,NA,941,-1,1036,1001,PS,,NA,55,46,NA,35,26,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,26
-99999,10,14,3,0,915,1029,1001,PS,NA,NA, ,46,NA,28,15,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,27
1987,10,14,3,930,915,1029,1001,PS,1451,NA,59,46,NA,28,15,-99999,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,27
1987,-99999,14,3,930,915,1029,1001,,1451,NA,-99999,46,NA, ,15,-1,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,27
1987,10,14,0,930,915,1029,1001,PS,1451,NA,59,46,NA,28,15,-99999,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,27
-99999,-99999,15,4, ,915,1023,1001,PS,1451,NA,63,46,0,22,5,0,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,28
1987,10,15,4,920,915,1023,1001,PS,1451,NA,63,46,NA,NA,5,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,28
1987,10,15,4,920,-99999,1023,1001, ,1451,NA,63,,NA,22,5,SFO,-1,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,28
1987,10,15,4,920,915,NA,1001,PS,1451,NA,63,46,0,22,5,SFO,RNO,192,-99999,NA,0,NA,0,NA,NA,NA,NA,NA,28
1987,10,15,4,920,915,1023,,PS,1451,NA,63,46,NA,22,-1,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,28
1987,10, ,6,1009,915,1104,1001,PS,1451,NA,55,-1,NA,63,54,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,29
1987,10,17,6,1009,915,1104,1001,PS,1451,NA, ,46,NA,63,54,-99999,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,29
1987,10,17,6,1009,0,1104, ,PS,1451,NA,-99999,46,NA,63,54,SFO,0,-99999,NA,NA,0,NA,0,NA,NA,NA,NA,NA,29
1987,10,17,6,1009,915,1104,1001,PS,1451,NA,-99999,46,NA,63,54,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,29
-99999,10,17,6,0,915,1104,1001,PS,1451,NA,55,46,NA,63, ,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,29
1987,10,18,7,915,915,1008,1001,PS,1451,NA,-1,46,NA,7,0,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,30
1987,10,18,7,915,915,1008,,PS,1451,NA,53,46,NA,7,0,SFO, ,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,30
1987,10,18,7,915,915,1008,1001,PS, ,NA,53,,NA,7,0,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,30
1987,10,18,7,915,915,1008,1001,PS,-99999,NA,53,46,NA,7, , ,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,30
 ,10,19, ,940,915,1032,1001,PS,1451,NA,52,46,NA,31,25,SFO,RNO,192,-99999,NA,0,NA,0,NA,NA,NA,NA,NA,31
1987,10,19,1,940,915,1032,1001,0,1451,NA,52,46,NA,31,25,SFO,RNO,192,,NA,0,NA,0,NA,NA,NA,NA,NA,31
1987,10,19,1,940,915,-99999,1001,PS,1451,NA,52, ,NA,31,25,SFO,RNO, ,NA,NA,0,NA,0,NA,NA,NA,NA,NA,31
1987,10,21,3,913,915,1003,1001,PS,-1,NA,50,46,NA,2,-2,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,32
1987,10,21,3,913,915,1003,1001,PS,1451,NA,50,46, ,0,-2,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,32
1987,10,21,3,913,915,1003,1001,PS,1451,-1,50,46,NA,2,-2,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,32
0,10,21,3,NA,915,1003,1001,PS,1451,NA,50,46,NA,2,-2,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,32
1987,10,21,3,913,915,,1001,0,1451,NA,50,46,NA,2,-2,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA,32
1987,10,22,4,915,915,1017,1001,PS,1451,NA,62,,NA,16,0,SFO,RNO,192,NA,-1,0,NA,0,NA,NA,NA,NA,NA,33
